,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
610,Doja Cat Takes The 'Bar Exam' | All Def Music,All Def Music,2019-03-18T16:00:04Z,1338604,33976,989,nc0288bwpFQ,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
611,Doja Cat Dips Oreos In Capri Sun | HNHH's Snack Review,HotNewHipHop,2019-05-31T16:01:37Z,852399,17906,1495,Ka0NTR_SgQg,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
612,"Doja Cat on Cows, Bernie Sanders, and Fyre Festival | Questionnaire of Life",Noisey,2019-04-01T20:42:00Z,143650,4778,258,GAeQAuFdlCc,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
613,Doja Cat - Billboard Music Awards Performance (Behind The Scenes),Doja Cat,2020-10-27T00:17:42Z,832434,52150,1699,_13vGoYjmQw,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
614,M.O.P. - Ante Up (Official Music Video),PaperChaserDotComTV,2011-02-18T04:59:09Z,6883656,107722,4205,jqPxJp5OJW0,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
615,Saweetie - Best Friend (feat. Doja Cat) [Official Music Video],Official Saweetie,2021-01-07T23:00:20Z,267060295,2893640,62653,_xJUCsyMQes,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
616,"Bebe Rexha - Baby, I'm Jealous (feat. Doja Cat) [Official Music Video]",Bebe Rexha,2020-10-09T16:00:09Z,82506261,1810400,57311,PznMpRASjAg,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
617,Doja Cat - Tour Recap - London 2019,Doja Cat,2019-07-15T18:17:07Z,422374,13755,469,6CbMx2BirSY,PLjL_xsNpjUAPJxULDk3ar6uxMzlgNfDt6,Out On Tour
618,Doja Cat - Triflin (Acapella Video),Doja Cat,2019-07-31T20:00:14Z,1994499,157327,2193,8HNvdojB-aQ,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
619,Doja Cat - Return of the Snack (Acapella Video),Doja Cat,2019-08-07T20:00:00Z,6092207,579970,8616,3lkaYzKiSlA,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
620,Doja Cat - Daddy (Acapella Video),Doja Cat,2019-08-14T20:00:31Z,1633086,110416,1611,vGqp7aRVmmE,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
621,Doja Cat - Under My Bed (Acapella Video),Doja Cat,2019-08-21T19:00:05Z,1667371,101112,1261,j76jRJd1p6s,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
622,Doja Cat - Don't I Look Smart (Acapella Video),Doja Cat,2019-08-28T19:00:05Z,1506114,97907,1331,ZkTRkKsWFYE,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
623,Doja Cat - I Don't Wanna Know (Acapella Video),Doja Cat,2019-09-04T20:00:06Z,1301001,87240,1441,RDlkKHlPUcg,PLjL_xsNpjUAO9usu3Bqj7LzonRMyYj266,Acapella Videos
624,Doja Cat - Woman (Official Video),dojacatVEVO,2021-12-03T15:00:09Z,190905450,3399511,73251,yxW5yuzVi8w,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
625,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,2021-06-25T04:00:10Z,241597382,3007808,69409,JXgV1rXUoME,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
626,Doja Cat - Need to Know (Official Video),dojacatVEVO,2021-06-11T14:00:11Z,284589129,4245465,85543,dI3xkL7qUAc,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
627,Doja Cat - Kiss Me More (Official Video) ft. SZA,dojacatVEVO,2021-04-09T04:00:00Z,421860489,4727750,145099,0EVVKs6DQLo,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
628,Doja Cat - Streets (Official Video),dojacatVEVO,2021-03-09T05:00:12Z,251534392,3703224,101179,jJdlgKzVsnI,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
629,Doja Cat - Say So (Official Video),dojacatVEVO,2020-02-27T15:00:10Z,454306269,5544858,192486,pok8H_KF1FA,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
